id,worldId,order,mechanic,difficulty,instruction,targetVocabulary,reviewVocabulary,estimatedSeconds,isBoss
W08-L16,W08,16,balloon_pop,4,It is umbrella. Choose the right place or item.,umbrella,sky|sunny,45,False
W08-L17,W08,17,word_shot,4,It is coat. Choose the right place or item.,coat,tree|rain,45,False
W08-L18,W08,18,adventure_commands,4,It is boots. Choose the right place or item.,boots,sun|rainy,45,False
W08-L19,W08,19,rescue_mission,4,It is sky. Choose the right place or item.,sky,sunny|cloud,90,False
W08-L20,W08,20,boss_challenge,4,It is tree. Choose the right place or item.,tree,rain|cloudy,90,True
W09-L01,W09,1,word_shot,1,Find number one.,one,four|seven,45,False
W09-L02,W09,2,balloon_pop,1,Pop two.,two,five|eight,45,False
W09-L03,W09,3,drag_sort,1,Put three stars in the box.,three,six|nine,45,False
W09-L04,W09,4,word_shot,1,Find number four.,four,seven|ten,45,False
W09-L05,W09,5,letter_puzzle,1,Build the word FIVE.,five,eight|eleven,45,False
W09-L06,W09,6,word_shot,2,Find number six.,six,nine|twelve,45,False
W09-L07,W09,7,drag_sort,2,Put seven stars in the box.,seven,ten|thirteen,45,False
W09-L08,W09,8,balloon_pop,2,Pop eight.,eight,eleven|fourteen,45,False
W09-L09,W09,9,rescue_mission,2,Find and help: nine.,nine,twelve|fifteen,90,False
W09-L10,W09,10,boss_challenge,2,Boss review: find ten and finish the Word Star challenge.,ten,thirteen|sixteen,90,True
W09-L11,W09,11,word_shot,3,Count and choose eleven stars.,eleven,fourteen|seventeen,45,False
W09-L12,W09,12,adventure_commands,3,Count and choose twelve stars.,twelve,fifteen|eighteen,45,False
W09-L13,W09,13,drag_sort,3,Count and choose thirteen stars.,thirteen,sixteen|nineteen,45,False
W09-L14,W09,14,letter_puzzle,3,Count and choose fourteen stars.,fourteen,seventeen|twenty,45,False
W09-L15,W09,15,rescue_mission,3,Count and choose fifteen stars.,fifteen,eighteen|one,90,False
W09-L16,W09,16,balloon_pop,4,Count and choose sixteen stars.,sixteen,nineteen|two,45,False
W09-L17,W09,17,word_shot,4,Count and choose seventeen stars.,seventeen,twenty|three,45,False
W09-L18,W09,18,adventure_commands,4,Count and choose eighteen stars.,eighteen,one|four,45,False
W09-L19,W09,19,rescue_mission,4,Count and choose nineteen stars.,nineteen,two|five,90,False
W09-L20,W09,20,boss_challenge,4,Count and choose twenty stars.,twenty,three|six,90,True
W10-L01,W10,1,word_shot,1,Find the mother.,mother,sister|boy,45,False
W10-L02,W10,2,balloon_pop,1,Pop the father.,father,baby|girl,45,False
W10-L03,W10,3,drag_sort,1,Put the brother in the right group.,brother,friend|wake up,45,False
W10-L04,W10,4,word_shot,1,Find the sister.,sister,boy|wash,45,False
W10-L05,W10,5,letter_puzzle,1,Build the word BABY.,baby,girl|eat,45,False
W10-L06,W10,6,word_shot,2,Find the friend.,friend,wake up|go,45,False
W10-L07,W10,7,drag_sort,2,Put the boy in the right group.,boy,wash|play,45,False
W10-L08,W10,8,balloon_pop,2,Pop the girl.,girl,eat|read,45,False
W10-L09,W10,9,rescue_mission,2,Find and help: wake up.,wake up,go|sleep,90,False
W10-L10,W10,10,boss_challenge,2,Boss review: find wash and finish the Word Star challenge.,wash,play|what,90,True
W10-L11,W10,11,word_shot,3,Listen to the mini story and choose: eat.,eat,read|where,45,False
W10-L12,W10,12,adventure_commands,3,Listen to the mini story and choose: go.,go,sleep|who,45,False
W10-L13,W10,13,drag_sort,3,Listen to the mini story and choose: play.,play,what|my,45,False
W10-L14,W10,14,letter_puzzle,3,Listen to the mini story and choose: read.,read,where|your,45,False
W10-L15,W10,15,rescue_mission,3,Listen to the mini story and choose: sleep.,sleep,who|mother,90,False
W10-L16,W10,16,balloon_pop,4,Listen to the mini story and choose: what.,what,my|father,45,False
W10-L17,W10,17,word_shot,4,Listen to the mini story and choose: where.,where,your|brother,45,False
W10-L18,W10,18,adventure_commands,4,Listen to the mini story and choose: who.,who,mother|sister,45,False
W10-L19,W10,19,rescue_mission,4,Listen to the mini story and choose: my.,my,father|baby,90,False
W10-L20,W10,20,boss_challenge,4,Listen to the mini story and choose: your.,your,brother|friend,90,True
